provincia,jardin_maternal,jardin_infante,primaria,secundaria,terciario
Buenos Aires,807913.0,502332.0,1959610.0,1662571.0,7996105.0
Córdoba,180225.0,108450.0,402659.0,347570.0,1783195.0
Santa Fe,168130.0,101548.0,372487.0,309501.0,1636994.0
Mendoza,100146.0,63089.0,239562.0,193092.0,922315.0
Tucumán,90498.0,54003.0,201616.0,167493.0,819279.0
Salta,80694.0,48389.0,184107.0,147965.0,674690.0
Misiones,79242.0,45740.0,170562.0,133396.0,588422.0
Entre Ríos,69128.0,43245.0,158523.0,132201.0,651992.0
Corrientes,67679.0,40101.0,143824.0,121166.0,564045.0
Chaco,63478.0,37101.0,136096.0,112199.0,539477.0
Santiago del Estero,62588.0,36190.0,132695.0,111319.0,500212.0
San Juan,46186.0,27242.0,100925.0,84690.0,372563.0
Jujuy,39312.0,25314.0,97663.0,80339.0,386761.0
Río Negro,34338.0,22047.0,84644.0,68975.0,353991.0
Neuquén,32730.0,21391.0,82039.0,65848.0,347352.0
Formosa,34087.0,20565.0,76715.0,63452.0,279172.0
Chubut,27626.0,17371.0,67959.0,56147.0,284665.0
San Luis,26033.0,15578.0,60436.0,55663.0,254885.0
Catamarca,21230.0,12775.0,47366.0,42392.0,207047.0
La Rioja,18216.0,11087.0,42995.0,37919.0,190124.0
Santa Cruz,16618.0,11300.0,42038.0,34443.0,166029.0
La Pampa,16025.0,10500.0,40013.0,33328.0,163144.0
Tierra del Fuego,362.0,219.0,832.0,662.0,2944.0
